Date,Year,IPO_Name,Issue_Size_Cr,Subscription_Times,Issue_Price,Listing_Open,Listing_Close,Listing_Gain_Pct,Current_Gain_Pct,Status
2016-08-12,2016,S P Apparels,215.0,0.66,268.0,275.0,295.0,10.07,20.91,Winner
2016-08-11,2016,Dilip Buildcon,430.0,0.0,219.0,240.0,251.95,15.05,155.71,Winner
2016-08-01,2016,Advanced Enzyme,60.0,116.02,896.0,1210.0,235.66,-73.7,-55.42,Loser
2016-07-21,2016,L&T Infotech,1242.0,11.69,710.0,667.0,697.65,-1.74,559.83,Loser
2016-07-12,2016,Quess Corp,400.0,143.99,317.0,500.0,503.0,58.68,173.56,Winner
2016-07-01,2016,Mahanagar Gas,1039.64,64.54,421.0,540.0,519.9,23.49,176.95,Winner
2016-05-19,2016,Parag Milk Food,764.3,1.83,215.0,230.0,247.8,15.26,-35.56,Winner
2016-05-10,2016,Ujjivan Financi,358.16,40.68,210.0,231.9,231.6,10.29,14.17,Winner
2016-05-09,2016,Thyrocare Techn,479.21,73.55,446.0,662.0,618.1,38.59,192.94,Winner
2016-04-21,2016,Equitas Holding,2159.0,17.21,110.0,145.1,135.25,22.95,16.82,Winner
2016-04-01,2016,Bharat Wire Rop,70.0,1.21,45.0,47.25,45.4,0.89,75.67,Winner
2016-02-18,2016,Quick Heal Tech,450.0,10.8,321.0,305.0,254.45,-20.73,-5.53,Loser
2016-02-12,2016,TeamLease Ser.,273.68,66.02,850.0,860.0,1021.95,20.23,400.71,Winner
2016-02-08,2016,Precision Camsh,410.0,1.91,186.0,165.0,177.25,-4.7,-41.37,Loser
2016-01-06,2016,Narayana Hruda,613.0,0.07,250.0,291.0,336.7,34.68,95.6,Winner
2015-12-23,2015,Dr Lal PathLab,638.0,33.41,550.0,717.0,824.15,49.85,546.28,Winner
2015-12-23,2015,Alkem Lab,1349.6,44.29,1050.0,1380.0,1381.45,31.57,229.0,Winner
2015-11-16,2015,S H Kelkar,200.0,0.0,180.0,216.0,207.3,15.17,-6.06,Winner
2015-11-10,2015,Interglobe Avi,3000.0,6.15,765.0,868.0,878.45,14.83,118.04,Winner
2015-11-02,2015,Coffee Day,1150.0,1.82,328.0,313.0,270.15,-17.64,-87.5,Loser
2015-09-21,2015,Prabhat Dairy,300.0,0.77,115.0,113.0,116.35,1.17,-13.35,Winner
2015-09-16,2015,Sadbhav Infra,425.0,2.24,103.0,111.0,106.15,3.06,-72.43,Winner
2015-09-10,2015,Shree Pushkar,70.0,1.34,65.0,60.05,63.0,-3.08,165.85,Loser
2015-09-10,2015,Pennar Eng,156.19,0.07,178.0,177.95,157.5,-11.52,-64.13,Loser
2015-09-09,2015,Navkar Corp,600.0,2.85,155.0,152.0,166.4,7.35,-68.1,Winner
2015-08-26,2015,Power Mech,273.22,38.12,640.0,600.0,585.75,-8.48,27.34,Loser
2015-08-11,2015,Syngene Intl,550.0,32.05,250.0,295.0,155.2,-37.92,155.1,Loser
2015-07-09,2015,Manpasand Bever,400.0,1.4,320.0,291.0,163.43,-48.93,-98.08,Loser
2015-05-26,2015,PNC Infratech,488.0,1.56,378.0,381.0,72.04,-80.94,-16.88,Loser
2015-05-14,2015,UFO Moviez,600.0,2.04,625.0,600.0,598.8,-4.19,-83.08,Loser
2015-05-06,2015,MEP Infra,324.0,1.11,63.0,63.0,60.95,-3.25,-63.17,Loser
2015-04-30,2015,VRL Logistics,473.88,74.26,205.0,288.0,293.3,43.07,48.12,Winner
2015-04-09,2015,Inox Wind,700.0,18.6,325.0,400.0,438.0,34.77,-56.34,Winner
2015-04-06,2015,Imagicaaworld,467.0,1.11,180.0,167.95,191.25,6.25,-95.2,Winner
